Title,Rank,Studio,Gross,Year
Speed,374,Fox,350.4,1994
Dinosaur,375,Buena Vista,349.8,2000
Mary Poppins Returns,376,Buena Vista,349.5,2018
Deep Impact,377,Paramount,349.5,1998
Dr. Seuss' The Lorax,378,Universal,348.8,2012
The Maze Runner,379,Fox,348.3,2014
The Smurfs 2,380,Sony,347.5,2013
National Treasure,381,Buena Vista,347.5,2004
Rush Hour 2,382,New Line,347.3,2001
"I, Robot",383,Fox,347.2,2004
Trolls,384,Fox,346.9,2016
xXx: The Return of Xander Cage,385,Paramount,346.1,2017
Pocahontas,386,Buena Vista,346.1,1995
How the Grinch Stole Christmas,387,Universal,345.1,2000
Star Trek Beyond,388,Paramount,343.5,2016
Alvin and the Chipmunks: Chipwrecked,389,Fox,342.7,2011
The Flintstones,390,Universal,341.6,1994
Wanted,391,Universal,341.4,2008
A Quiet Place,392,Paramount,340.9,2018
Enchanted,393,Buena Vista,340.5,2007
300: Rise of An Empire,394,Warner Brothers,337.6,2014
Batman Forever,395,Warner Brothers,336.6,1995
Prince of Persia: The Sands of Time,396,Buena Vista,336.4,2010
Over the Hedge,397,Dreamworks,336.0,2006
Journey 2: The Mysterious Island,398,Warner Brothers,335.3,2012
The Rock,399,Buena Vista,335.1,1996
The Great Wall,400,Universal,334.9,2017
Now You See Me 2,401,Lionsgate,334.9,2016
The Curious Case of Benjamin Button,402,Paramount,333.9,2008
Indiana Jones and the Temple of Doom,403,Paramount,333.1,1984
Tomorrow Never Dies,404,MGM,333.0,1997
The Good Dinosaur,405,Buena Vista,332.2,2015
Back to the Future Part II,406,Universal,332.0,1989
22 Jump Street,407,Sony,331.3,2014
Fantastic Four,408,Fox,330.6,2005
Meet the Parents,409,Universal,330.4,2000
Who Framed Roger Rabbit,410,Buena Vista,329.8,1988
Black Swan,411,Fox,329.4,2010
The Perfect Storm,412,Warner Brothers,328.7,2000
Crocodile Dundee,413,Paramount,328.2,1986
Seven,414,New Line,327.3,1995
The Devil Wears Prada,415,Fox,326.6,2006
Taken 3,416,Fox,326.5,2015
The Hunchback of Notre Dame,417,Buena Vista,325.3,1996
A Christmas Carol,418,Buena Vista,325.3,2009
The SpongeBob Movie: Sponge Out of Water,419,Paramount,325.2,2015
Schindler's List,420,Universal,322.1,1993
Megamind,421,Dreamworks,321.9,2010
Lethal Weapon 3,422,Warner Brothers,321.7,1992
Robin Hood,423,Universal,321.7,2010
Inglourious Basterds,424,Weinstein,321.5,2009
101 Dalmatians,425,Buena Vista,320.7,1996
The Conjuring 2,426,Warner Brothers,320.4,2016
Green Book,427,Universal,320.3,2018
Fatal Attraction,428,Paramount,320.1,1987
The Last Airbender,429,Paramount,319.7,2010
The Conjuring,430,Warner Brothers,319.5,2013
The Proposal,431,Buena Vista,317.4,2009
Beverly Hills Cop,432,Paramount,316.4,1984
Air Force One,433,Sony,315.2,1997
The Expendables 2,434,Lionsgate,315.0,2012
Chicken Little,435,Buena Vista,314.4,2005
As Good as It Gets,436,Sony,314.2,1997
A Beautiful Mind,437,Universal,313.5,2001
Maze Runner: The Scorch Trials,438,Fox,312.3,2015
Resident Evil: The Final Chapter,439,Sony,312.2,2017
Austin Powers: The Spy Who Shagged Me,440,New Line,312.0,1999
The LEGO Batman Movie,441,Warner Brothers,312.0,2017
The Polar Express,442,Warner Brothers,311.4,2004
Ocean's Thirteen,443,Warner Brothers,311.3,2007
Little Fockers,444,Universal,310.7,2010
Bolt,445,Buena Vista,310.0,2008
Ransom,446,Buena Vista,309.5,1996
Runaway Bride,447,Paramount,309.5,1999
The Blind Side,448,Warner Brothers,309.2,2009
The Fault in our Stars,449,Fox,307.2,2014
The Pursuit of Happyness,450,Sony,307.1,2006
Rise of the Guardians,451,Dreamworks,306.9,2012
Close Encounters of the Third Kind,452,Columbia,306.9,1977
Chicago,453,Miramax,306.8,2002
Annabelle: Creation,454,Warner Brothers,306.5,2017
Wonder,455,Lionsgate,305.9,2017
Wrath of the Titans,456,Warner Brothers,305.3,2012
Skyscraper,457,Universal,304.9,2018
John Wick: Chapter 3 - Parabellum,458,Lionsgate,304.7,2019
A Good Day to Die Hard,459,Fox,304.7,2013
Mulan,460,Buena Vista,304.3,1998
Passengers,461,Sony,303.1,2016
Battleship,462,Universal,303.0,2012
Dangal,463,UTV,302.9,2016
Liar Liar,464,Universal,302.7,1997
G.I. Joe: The Rise of Cobra,465,Paramount,302.5,2009
Hook,466,TriStar,300.9,1991
Rocky IV,467,MGM,300.5,1985
Superman,468,Warner Brothers,300.5,1978
Rambo: First Blood Part II,469,TriStar,300.4,1985
Van Helsing,470,Universal,300.3,2004
Resident Evil: Afterlife,471,Sony,300.2,2010
Stuart Little,472,Sony,300.1,1999
Beverly Hills Cop II,473,Paramount,300.0,1987
Alice Through the Looking Glass,474,Buena Vista,299.5,2016
